X, Y, Z
-0.395184,-0.284123,0.980275
-0.393701,-0.281183,0.980872
-0.399663,-0.691862,0.834708
-0.399521,-0.684641,0.845052
-0.399744,-0.322526,0.975521
-0.397273,-0.288259,0.98297
-0.397026,-0.279949,0.986556
-0.397991,-0.262274,0.996919
-0.399663,-0.081811,1.05675
-0.00250508,-0.73003,0.833799
0.00317504,-0.732489,0.83734
-0.399827,-0.725076,0.841775
-0.00274517,-0.730274,0.837967
0.000460817,-0.730839,0.838613
-0.399769,-0.694923,0.850222
-0.399156,-0.687245,0.851006
-0.399467,-0.681789,0.854241
-0.398107,-0.44054,0.945337
-0.398981,-0.434267,0.945918
-0.39821,-0.425089,0.949065
-0.398473,-0.294423,0.993199
-0.399412,-0.278063,0.997025
-0.398496,-0.263782,1.00158
-0.399827,-0.233605,1.02066
-0.399188,-0.232019,1.02052
-0.395621,-0.211644,1.02822
-0.389504,-0.21151,1.0287
0.00732276,-0.734009,0.842002
0.0148533,-0.736279,0.84419
0.0205954,-0.740271,0.845822
-0.399548,-0.729257,0.84793
-0.00310426,-0.732045,0.845962
0.00442552,-0.732947,0.846131
0.012726,-0.733716,0.847994
-0.39982,-0.706353,0.858167
-0.399273,-0.699878,0.857076
-0.399552,-0.691414,0.860564
-0.399523,-0.683979,0.860351
-0.398936,-0.443112,0.947239
-0.398714,-0.437335,0.952197
-0.396336,-0.425785,0.954671
-0.397706,-0.418715,0.958826
-0.399247,-0.410085,0.963666
-0.39982,-0.40522,0.967771
-0.398835,-0.378819,0.975099
-0.398681,-0.29481,1.00157
-0.399831,-0.234279,1.0236
-0.399255,-0.233097,1.02483
-0.396066,-0.216795,1.03255
-0.394852,-0.210382,1.03278
-0.389207,-0.212912,1.03108
-0.399047,-0.207141,1.04013
0.0296119,-0.746798,0.851959
0.0314204,-0.748213,0.853573
-0.398976,-0.73869,0.855671
0.0186554,-0.736641,0.851045
0.0238055,-0.742198,0.852237
-0.39879,-0.733361,0.854562
-0.00397929,-0.732188,0.855338
0.00518484,-0.733804,0.855166
0.0144927,-0.734371,0.854836
-0.399257,-0.711212,0.86418
-0.399331,-0.704352,0.864748
-0.39927,-0.441019,0.960062
-0.394942,-0.42999,0.967055
-0.394916,-0.42212,0.969068
-0.39746,-0.411789,0.97179
-0.397814,-0.404634,0.974525
-0.397242,-0.384506,0.982465
-0.398996,-0.378378,0.984989
-0.399782,-0.230417,1.03778
-0.397374,-0.223028,1.04178
-0.39779,-0.206242,1.04563
-0.399228,-0.195887,1.05296
-0.398053,-0.187929,1.05493
-0.399384,-0.751759,0.863456
0.0355536,-0.75105,0.859398
0.0419221,-0.754679,0.861506
-0.398456,-0.744245,0.861886
0.0262401,-0.743762,0.861448
0.0318543,-0.748891,0.86184
-0.39882,-0.738017,0.862179
-0.0034776,-0.731276,0.863718
0.00522932,-0.732894,0.865161
0.0152349,-0.734783,0.864867
0.0217137,-0.738589,0.865365
-0.399197,-0.723156,0.873335
-0.0101319,-0.725586,0.871918
-0.00512147,-0.728181,0.869334
0.00241046,-0.730666,0.870221
-0.399304,-0.717044,0.871856
-0.399707,-0.70862,0.87091
-0.390356,-0.447795,0.965045
-0.38699,-0.448203,0.966078
-0.394875,-0.447778,0.971103
-0.386963,-0.44653,0.96927
-0.394902,-0.432721,0.974111
-0.38992,-0.429361,0.973882
-0.395073,-0.423179,0.977852
-0.389553,-0.427856,0.973366
-0.395947,-0.415782,0.980071
-0.396971,-0.405907,0.984015
-0.399004,-0.39434,0.99046
-0.397286,-0.389933,0.98949
